index,Parameter Name,a3,BE(13LamC)(MeV),BE-11.88MeV,Etot_HYP(MeV),Etot_core(MeV)
189,J-33L0K0ms_m0.75,148.10546875,11.876828724353771,-0.0031712756462294323,-101.75499582653478,-89.87816710218101
190,J-33L0K0ms_m0.8,147.71484375,11.882143657981402,0.002143657981401148,-101.76031076016241,-89.87816710218101
191,J-33L0K0ms_m0.85,147.51953125,11.881478440760915,0.0014784407609145234,-101.75964554294193,-89.87816710218101
192,J-33L0K0ms_m0.9,147.32421875,11.88200151672568,0.0020015167256790534,-101.76016861890669,-89.87816710218101
193,J-33L0K0ms_m0.95,147.12890625,11.883548943213952,0.0035489432139517163,-101.76171604539496,-89.87816710218101
194,J-33L0K0ms_m1.0,147.12890625,11.878722668251925,-0.0012773317480760937,-101.75688977043293,-89.87816710218101
195,J-33L0K300ms_m0.6,88.193359375,11.880243274854394,0.00024327485439279428,-101.7584103770354,-89.87816710218101
196,J-33L0K300ms_m0.65,88.193359375,11.882298125079245,0.0022981250792444285,-101.76046522726026,-89.87816710218101
197,J-33L0K300ms_m0.7,88.291015625,11.880489396338461,0.0004893963384606792,-101.75865649851947,-89.87816710218101
198,J-33L0K300ms_m0.75,88.388671875,11.880042106293246,4.210629324497006e-5,-101.75820920847426,-89.87816710218101
199,J-33L0K300ms_m0.8,88.486328125,11.880776594785772,0.0007765947857709676,-101.75894369696678,-89.87816710218101
200,J-33L0K300ms_m0.85,88.583984375,11.882594870041828,0.0025948700418272352,-101.76076197222284,-89.87816710218101
